"Villa Melasti Ungasan","A0011","2","0","E0005","0","0","2","2","0"
"PinkCoco Bali","A0013","5","1","E0007","1","0","1","2","1"
"PinkCoco Gili Trawangan","A0014","5","1","E0007","1","0","1","2","1"
"PinkCoco Gili Air","A0000","5","1","E0007","1","0","1","2","1"
"Omah Cening","A0001","1","1","E0000","3","1","2","1","1"
"Villa Lulu","A0003","1","1","E0007","1","0","1","3","2"
"Seno Guesthouse","A0013","4","1","E0017","0","0","0","0","0"
"Sinar Sari Bingin","A0008","4","1","E0017","0","0","0","0","0"
"Shankara Guesthouse","A0008","4","1","E0017","0","0","0","0","0"
"Watusaman","A0001","5","1","E0020","3","1","1","2","1"
"Griya Langen","A0001","5","1","E0020","3","1","1","2","1"
"Sesapi Putih","A0011","1","1","E0000","3","0","0","0","0"
"Homestay Tembi","A0001","5","1","E0020","3","3","1","2","1"
"Rajaklana","A0001","5","1","E0020","3","3","3","3","1"
"Wisma Eyang Sosro","A0001","5","1","E0020","3","5","2","1","1"
"Mule Malu","A0008","4","1","E0011","0","0","0","0","0"
"Double D Guest House","A0003","4","1","E0007","3","0","0","0","0"
"Lorong Homestay","A0001","4","1","E0018","2","0","0","0","0"
"Griya Tiyasan","A0001","1","1","E0018","2","0","0","0","0"
"Wabisabi","A0001","1","1","E0003","2","0","0","0","0"
"Sannyas Yoga House","A0002","4","1","E0017","0","0","0","0","0"
"Double D Guesthouse","A0003","4","1","E0011","3","0","0","0","0"
"Joglo Agung","A0001","4","1","E0020","2","0","0","0","0"
"Villa Shiva","A0008","2","1","E0005","2","0","0","0","0"
"The Miracle Villas","A0012","2","2","E0005","3","0","0","0","0"
"Coffee Network","A0010","2","1","E0007","1","0","0","0","0"
"D'Java Citra Ayu","A0001","4","2","E0020","5","0","0","0","0"
"D'Java Omah Sambilegi","A0001","4","1","E0020","5","0","0","0","0"
"Bali Shanti","A0003","4","1","E0011","3","0","0","0","0"
"Cabana Krui Lampung","A0005","5","1","E0017","0","0","0","0","0"
"Le Yanandra","A0009","5","1","E0000","0","0","0","0","0"
"Griya Bausasran 52","A0001","4","1","E0020","2","0","0","0","0"
"Villa Kulat","A0002","2","1","E0017","0","0","0","0","0"
"Pondok Joglo Odit","A0003","4","1","E0017","0","0","0","0","0"
"Bale Tudor","A0004","2","1","E0011","0","0","0","0","0"
"WK Gamat Garden VIlla","A0020","4","1","E0007","0","0","0","0","0"
"Ayu Laba","A0020","4","1","E0005","5","0","0","0","0"
"Summergrass","A0001","4","1","E0018","5","0","0","0","0"
"Batan Sabo","A0020","4","1","E0005","5","0","0","0","0"
"GK Gamat Garden","A0020","4","2","E0005","5","0","0","0","0"
"Posnya Seni Godod","A0001","4","1","E0003","5","0","0","0","0"
"Villa Luna","A0011","2","1","E0011","5","0","0","0","0"
"Little Cabin - The Landmark","A0019","3","1","E0003","5","0","0","0","0"
"Batu Agung Villa","A0004","5","1","E0007","5","0","0","0","0"
"Melin Inn","A0015","3","1","E0007","5","0","0","0","0"
"The Suci Sari","A0004","2","1","E0006","0","0","0","0","0"
"Vinnayaka Guesthouse","A0004","4","1","E0007","5","0","0","0","0"
"Villa Cenik Ubud","A0004","4","1","E0007","0","0","0","0","0"
"Toya Villa Ubud","A0004","4","1","E0007","0","0","0","0","0"
"Villa Casa Mia","A0001","2","1","E0007","0","0","0","0","0"
"Omah JeTeHa","A0001","1","1","E0007","0","0","0","0","0"
"Raka & Rai Guesthouse","A0003","4","1","E0007","0","0","0","0","0"
"William's Place","A0018","3","2","E0007","0","0","0","0","0"
"Puri Casablanca","A0005","3","1","E0010","5","0","0","0","0"
"Griya Wirosaban","A0001","4","1","E0007","5","0","0","0","0"
"Toras Guesthouse","A0003","4","1","E0004","0","0","0","0","0"
"Teges Asri","A0008","4","1","E0003","5","0","0","0","0"
"Tegal Panggung","A0001","4","1","E0007","0","0","0","0","0"
"Griya Asih","A0001","4","1","E0007","5","0","0","0","0"
"Griya Siwi","A0001","1","1","E0007","5","0","0","0","0"
"Rumah Kami","A0001","1","1","E0007","5","0","0","0","0"
"Umah Ucok","A0001","4","1","E0007","5","0","0","0","0"
"Rumah Kemang 50","A0005","2","1","E0010","5","0","0","0","0"
"Jogja Dreams","A0001","2","1","E0007","5","0","0","0","0"
"Pendopo 26","A0001","2","1","E0003","5","0","0","0","0"
"Villa The Cantri","A0011","2","1","E0010","5","0","0","0","0"
"Bamboo Villas","A0007","2","1","E0003","5","0","0","0","0"
"Bali Omah","A0001","1","2","E0007","5","0","0","0","0"
"Roemah Canting","A0001","4","1","E0007","5","0","0","0","0"
"Kubu Pande Homestay","A0003","4","1","E0010","5","0","0","0","0"
"Watusaman Homestay","A0001","4","1","E0011","0","0","0","0","0"
"Villa Rama","A0010","2","1","E0010","0","0","0","0","0"
"Adi Bali Homestay","A0013","4","1","E0010","0","0","0","0","0"
"Villa Rizki","A0003","2","1","E0007","0","0","0","0","0"
"Dago Village","A0006","2","2","E0010","0","0","0","0","0"
"Villa Hali","A0011","2","1","E0000","0","0","0","0","0"
"Villa Siaga Raya 77 Mediapura","A0005","2","1","E0010","0","0","0","0","0"
"The Jarrdin Apartment","A0006","3","1","E0010","0","0","0","0","0"
"Ndalem Kasongan","A0001","4","1","E0003","0","0","0","0","0"
"Vila Lila Loka","A0003","4","1","E0000","0","0","0","0","0"
"Yoga Searcher","A0002","5","1","E0003","0","0","0","0","0"
"Villa Purnama","A0003","2","1","E0000","0","0","0","0","0"
"Villa Karang","A0003","2","1","E0000","0","0","0","0","0"
"VOC","A0003","4","1","E0000","0","0","0","0","0"
"D'Java Timuran","A0001","4","1","E0003","5","0","0","0","0"
"Wiras Village","A0003","4","1","E0000","0","0","0","0","0"
"Villa Vintage 1","A0003","2","1","E0000","0","0","0","0","0"
"Villa Tortoise","A0008","2","1","E0000","0","0","0","0","0"
"Villa Megalan","A0009","2","1","E0000","0","0","0","0","0"
"Villa Shanti","A0008","2","1","E0000","0","0","0","0","0"
"Villa Matahari","A0011","2","1","E0000","0","0","0","0","0"
"Villa Kanha","A0010","2","1","E0000","0","0","0","0","0"
"Villa Istana Willy","A0011","2","1","E0000","0","0","0","0","0"
"Villa Savasana","A0003","2","1","E0000","0","0","0","0","0"
"Villa Sunia","A0003","2","0","E0000","0","0","0","0","0"
"Villa Toya","A0009","2","1","E0000","0","0","0","0","0"
"Villa Merdu","A0004","2","1","E0000","0","0","0","0","0"
"Villa Malindo","A0010","2","1","E0000","0","0","0","0","0"
"Villa Mundaka","A0003","2","1","E0000","0","0","0","0","0"
"Wira Homestay","A0008","4","1","E0000","0","0","0","0","0"
"Villa Idaman","A0009","2","1","E0000","0","0","0","0","0"
"Villa Nazeki","A0011","2","1","E0000","0","0","0","0","0"
"Villa Ganesha","A0003","2","1","E0000","0","0","0","0","0"
"Villa Kama","A0013","2","1","E0000","0","0","0","0","0"
"Villa Kura Kura","A0008","2","1","E0000","0","0","0","0","0"
"Villa Zen & Papaya","A0008","2","1","E0000","0","0","0","0","0"
"Villa Loluan","A0003","2","1","E0000","0","0","0","0","0"
"The Beach House","A0009","5","2","E0000","0","0","0","0","0"
"The Kayuri Canggu","A0003","4","1","E0007","0","0","0","0","0"
"Agung Homestay","A0003","4","1","E0000","0","0","0","0","0"
"The White House","A0010","2","0","E0000","0","0","0","0","0"
"Villa Arindra","A0010","4","1","E0000","0","0","0","0","0"
"Treehouse Suites","A0005","4","0","E0010","0","0","0","0","0"
"Bagong Guesthouse","A0003","4","0","E0000","0","0","0","0","0"
"Uluwatu Village House","A0002","4","1","E0000","0","0","0","0","0"
"Bali Mynah","A0009","4","1","E0000","0","0","0","0","0"
"Villa Akara","A0015","2","2","E0000","0","0","0","0","0"
"Beverly Dago Apartment","A0006","3","1","E0010","0","0","0","0","0"
"Villa Arca","A0016","2","2","E0000","0","0","0","0","0"
"Bingin Ombak","A0008","4","0","E0000","0","0","0","0","0"
"Villa Bali Cliff","A0011","2","1","E0000","0","0","0","0","0"
"Brad's Villa","A0011","2","1","E0000","0","0","0","0","0"
"Villa Bija","A0003","2","1","E0000","0","0","0","0","0"
"Villa Casa Putih","A0003","2","2","E0000","0","0","0","0","0"
"Villa Bulan & Cahaya","A0008","2","1","E0000","0","0","0","0","0"
"Come Back Guesthouse","A0003","4","1","E0000","0","0","0","0","0"
"Villa Enzo","A0003","2","2","E0000","0","0","0","0","0"
"D'Java Gemilang","A0001","1","1","E0011","0","0","0","0","0"
"Denpasar Residence","A0005","3","1","E0010","0","0","0","0","0"
"Dreamview Villa","A0008","2","2","E0000","0","0","0","0","0"
"Full Moon Guesthouse","A0003","4","1","E0000","0","0","0","0","0"
"Villa Mandalay","A0004","2","2","E0000","0","0","0","0","0"
"Gili Eco & Khumba Villas","A0014","2","1","E0000","0","0","0","0","0"
"Hazel House","A0006","4","2","E0010","0","0","0","0","0"
"Kampung Jimba","A0013","5","1","E0000","0","0","0","0","0"
"Villa Sonia","A0004","2","0","E0000","0","0","0","0","0"
"Kubu Tropis","A0004","4","2","E0000","0","0","0","0","0"
"La Cabane","A0009","5","1","E0000","0","0","0","0","0"
"Villas Kemang Timur 5","A0005","2","2","E0000","0","0","0","0","0"
"Lebak Guesthouse","A0003","4","1","E0000","0","0","0","0","0"
"Made Roja Homestay","A0009","4","1","E0000","0","0","0","0","0"
"Barel Apartment","A0005","4","1","E0000","0","0","0","0","0"
"Rock-a-Villa","A0015","2","2","E0000","0","0","0","0","0"
"Ndalem Ngabean","A0001","4","1","E0000","0","0","0","0","0"
"Ocho Bali Villa","A0011","4","1","E0000","0","0","0","0","0"
"Peacock Ubud Inn","A0004","4","2","E0000","0","0","0","0","0"
"Pramestha Resort Town - Alinda","A0006","2","1","E0010","0","0","0","0","0"
"Puri Minggiran","A0001","4","1","E0003","0","0","0","0","0"
"Riverside Cottages","A0001","4","1","E0000","0","0","0","0","0"
"Rumah Lavia","A0001","2","1","E0003","0","0","0","0","0"
"Sahid Sudirman Residence - 27B","A0005","3","1","E0010","0","0","0","0","0"
"9 Nelayan","A0003","4","2","E0003","0","0","0","0","0"
"Saveria Apartment - Steve","A0005","3","2","E0010","0","0","0","0","0"
"property","area","0","0","added","0","0","0","0","0"
"Siaga Raya 3 Villas","A0005","2","1","E0000","0","0","0","0","0"
"Srikandi Guesthouse","A0003","4","1","E0000","0","0","0","0","0"
"Surfloge Guesthouse","A0003","4","2","E0000","0","0","0","0","0"
"Taman Melati Margonda","A0005","4","0","E0000","0","0","0","0","0"
"The Alchemist","A0009","5","1","E0000","0","0","0","0","0"
"Kakol Guesthouse","A0003","4","1","E0000","0","0","0","0","0"
"The Paving","A0003","4","1","E0010","0","0","0","0","0"
"?","A0016","4","2","E0000","0","0","0","0","0"
"Tirto Raharjo","A0001","4","0","E0003","0","0","0","0","0"
"Avisara Guesthouse","A0012","4","2","E0000","0","0","0","0","0"
"Uluwatu Jungle Bugalow","A0002","4","1","E0000","0","0","0","0","0"
"Bali Bohemia","A0004","5","2","E0000","0","0","0","0","0"
"Villa Ajee","A0015","2","1","E0003","0","0","0","0","0"
"Batu Jaran Hill","A0002","4","1","E0000","0","0","0","0","0"
"Villa Anak","A0011","2","1","E0000","0","0","0","0","0"
"Bingin Surf Left","A0008","4","1","E0000","0","0","0","0","0"
"Villa Bagus","A0009","2","1","E0000","0","0","0","0","0"
"Bobby's Place","A0002","4","1","E0000","0","0","0","0","0"
"Villa Bening","A0008","2","1","E0000","0","0","0","0","0"
"Casa Grande Residence","A0005","3","1","E0010","0","0","0","0","0"
"Villa Bukit Surf","A0013","2","1","E0000","0","0","0","0","0"
"Citra Sun Garden","A0001","2","2","E0003","0","0","0","0","0"
"Villa Entre Amis","A0010","2","2","E0000","0","0","0","0","0"
"D'Java Babarsari","A0001","1","1","E0000","0","0","0","0","0"
"Villa Hari Indah","A0008","2","2","E0000","0","0","0","0","0"
"DD Ubud Villas","A0004","4","0","E0000","0","0","0","0","0"
"Dinar Hills Villa","A0011","4","1","E0000","0","0","0","0","0"
